V1,V2,V3,V4
6.97126367521506e-07,1.37315830662788e-05,0.000172864841905818,2.91533600604854e-06
0.000375325978159591,0.0193022051706263,0.00242145679644401,0.000267340775380265
7.43464514674219e-06,0.000180970779998568,0.000390507488825076,2.5331472224055e-05
0.00168461007122744,0.00298814425393168,0.0206579370381204,0.007998501173207
0.000687098060110025,0.000443070182705618,0.00178601212654328,0.0523622785512285
0.000316386915919842,0.00478104741274432,0.0149930796488601,0.000109463639012874
7.63007310111696e-07,9.39716090009313e-06,0.000349022141588273,2.22239424563231e-06
0.0050236374851228,0.281878910731829,0.00829029591580954,0.00099460251849226
6.05169016010265e-08,2.8585738105491e-06,6.04679772919781e-09,0.000520968924964782
9.21524988539701e-08,3.13568375758244e-05,5.21373157724714e-06,3.06948879758018e-07
0.000415781445118002,0.00833296519157556,0.0003161060028255,0.00662571291410863
2.05301669808922e-06,4.17630865884311e-05,6.35515524882724e-06,0.000300393714577463
4.29484781960809e-07,7.56474710539301e-07,0.00141323203666799,1.13359585518502e-06
1.39279861036679e-05,0.000221476731903203,0.000517831431823379,8.09980429834489e-05
7.0942869665136e-05,0.000297625992383255,0.000229952128014244,0.00489923964812222
0.000168801315025391,0.0269058340096163,0.00438860096082483,8.65406022731996e-06
0.00918444134387064,0.0927519814145069,0.051707846383514,0.00362057139207195
8.29212581587857e-05,0.0189503450688229,0.000938869424134459,1.52991891180232e-05
5.19374178664656e-07,4.79051210278136e-06,0.00100675217276913,4.29326807660502e-07
1.37024919244499e-06,4.3541328207275e-05,2.01753666455584e-05,4.21672103232407e-05
1.77002312917729e-07,8.11661416488807e-06,1.24424603525908e-05,3.04852428667512e-06
1.79422082363656e-05,3.25599523264275e-05,6.75179562906747e-05,0.00488406035291689
2.96673304909234e-05,0.000113892212208588,0.000512454211847868,0.000838967532494905
1.38704707312032e-05,0.000538829807056773,6.54440499795461e-05,0.000238423947348743
6.99326113684506e-08,3.78664277667085e-06,2.77984800900466e-05,2.67874500470278e-07
2.53491400348249e-06,0.000233485840104963,0.00386482512573283,4.76553086992126e-08
3.66181883271199e-06,0.066977396349288,5.44394291868144e-08,7.76944144220693e-06
3.83725862859174e-05,0.00248729038512185,0.00202558271714459,1.23468400040627e-05
2.30758482000493e-06,0.00015226851409833,0.000112040229397592,6.83242765353587e-06
7.26282467622408e-06,6.85950586498674e-06,4.54071098819897e-05,0.00374769041821776
3.77967446230087e-07,1.53546579195751e-06,0.000927257102390278,6.81980446004538e-07
3.89236875436572e-05,0.000290279956576267,0.00020233825870053,0.00145657449461645
2.54719800807379e-10,3.81218773437553e-07,7.93223864370418e-09,1.10383695517413e-08
0.00106435328427623,0.000174228904557761,0.12233090314601,0.00326731825354531
1.66131290957328e-06,1.00942193959064e-06,0.00236991560375999,1.24429222556621e-05
9.55955190984348e-06,1.14764100023201e-06,0.0204065795602781,4.27563706570933e-05
1.50522373716377e-05,0.0216713659393346,3.68139539042023e-06,4.36760876330045e-05
1.98939507205509e-05,6.07900390725558e-05,0.002968571469528,9.10740506129271e-05
7.96014958487357e-05,0.000877773593221054,0.0051972469029864,8.80973889693104e-05
5.7606461845161e-07,5.05084619573104e-06,0.000104882348616719,8.29812278013708e-06
9.69474234224776e-09,2.18272166541134e-06,5.00745395326518e-06,2.26215931542484e-08
6.66842015617508e-06,4.14567749590367e-05,0.000135216599146171,0.000275402828835869
0.000122059037738542,5.31029756274393e-05,0.0023790161327244,0.00731834977356272
7.12298789917742e-05,0.0107085479813649,9.59285955900446e-05,0.000261212135438726
1.36483384095554e-05,0.000283721077436017,0.000420328334062026,6.72451189348555e-05
4.30004365448156e-09,4.61786109351436e-09,9.94370833040659e-06,5.26804636247213e-07
5.39191053028354e-07,8.05498989786546e-06,1.11413426702178e-05,5.00884718087624e-05
6.64478749845543e-06,9.91496231236288e-05,1.25630379215202e-05,0.00101432334176466
1.35056295215152e-05,0.00285459122794429,0.00282217613874036,3.31556005872535e-07
3.05880326689767e-06,0.000308369999200697,1.9086943234492e-05,4.33313902896693e-05
6.47626534289181e-07,0.00163279455363563,1.36431336839049e-06,1.4754455354149e-06
